"","household_income","housing_costs","estimate","moe","tenure","pct_all","cumul_pct","pct_upper","pct_lower","pct_moe"
"21","$20,000 to $34,999:","35.0 to 39.9 percent",48,53,"Renter",7.00729927007299,226.861313868613,14.5441908043185,0,7.53689153424547
"22","$20,000 to $34,999:","40.0 to 49.9 percent",306,129,"Renter",44.6715328467153,271.532846715328,59.8468711361184,29.4961945573123,15.1753382894031
"23","$20,000 to $34,999:","50.0 percent or more",184,108,"Renter",26.8613138686131,298.394160583942,41.1307230734978,12.5919046637285,14.2694092048847
"24","$20,000 to $34,999:","Not computed",11,13,"Renter",1.60583941605839,300,3.46082832135569,0,1.85498890529729
"25","$35,000 to $49,999:","Less than 20.0 percent",17,26,"Renter",3.62473347547974,303.62473347548,9.09291539929352,0,5.46818192381378
"26","$35,000 to $49,999:","20.0 to 24.9 percent",7,10,"Renter",1.49253731343284,305.117270788913,3.59140471409362,0,2.09886740066078
"27","$35,000 to $49,999:","25.0 to 29.9 percent",66,50,"Renter",14.0724946695096,319.189765458422,24.1283619932491,4.0166273457701,10.0558673237395
"28","$35,000 to $49,999:","30.0 to 34.9 percent",167,74,"Renter",35.6076759061834,354.797441364606,48.5958257012069,22.6195261111599,12.9881497950235
"29","$35,000 to $49,999:","35.0 to 39.9 percent",112,73,"Renter",23.8805970149254,378.678038379531,38.2392214967452,9.52197253310551,14.3586244818199
"30","$35,000 to $49,999:","40.0 to 49.9 percent",90,60,"Renter",19.1897654584222,397.867803837953,31.0368980670241,7.34263284982025,11.8471326086019
"31","$35,000 to $49,999:","50.0 percent or more",10,17,"Renter",2.13219616204691,400,5.71701202802603,0,3.58481586597912
"32","$35,000 to $49,999:","Not computed",0,19,"Renter",0,400,4.05117270788913,0,4.05117270788913
"33","$50,000 to $74,999:","Less than 20.0 percent",121,75,"Renter",23.0916030534351,423.091603053435,35.6213020067414,10.5619041001288,12.5296989533063
"34","$50,000 to $74,999:","20.0 to 24.9 percent",205,105,"Renter",39.1221374045802,462.213740458015,55.3742052711474,22.8700695380129,16.2520678665672
"35","$50,000 to $74,999:","25.0 to 29.9 percent",119,67,"Renter",22.7099236641221,484.923664122137,33.5353478834995,11.8844994447448,10.8254242193774
"36","$50,000 to $74,999:","30.0 to 34.9 percent",53,49,"Renter",10.1145038167939,495.038167938931,18.9609742972107,1.26803333637714,8.84647048041676
"37","$50,000 to $74,999:","35.0 to 39.9 percent",17,19,"Renter",3.24427480916031,498.282442748092,6.73750740679108,0,3.49323259763077
"38","$50,000 to $74,999:","40.0 to 49.9 percent",0,19,"Renter",0,498.282442748092,3.62595419847328,0,3.62595419847328
"39","$50,000 to $74,999:","50.0 percent or more",0,19,"Renter",0,498.282442748092,3.62595419847328,0,3.62595419847328
"40","$50,000 to $74,999:","Not computed",9,15,"Renter",1.7175572519084,500,4.53351666549035,0,2.81595941358195
"41","$75,000 to $99,999:","Less than 20.0 percent",228,110,"Renter",54.0284360189573,554.028436018957,72.9540894424861,35.1027825954286,18.9256534235288
"42","$75,000 to $99,999:","20.0 to 24.9 percent",101,56,"Renter",23.9336492890995,577.962085308057,34.5662364944547,13.3010620837443,10.6325872053552
"43","$75,000 to $99,999:","25.0 to 29.9 percent",5,10,"Renter",1.18483412322275,579.14691943128,3.52167414094741,0,2.33684001772466
"44","$75,000 to $99,999:","30.0 to 34.9 percent",6,10,"Renter",1.4218009478673,580.568720379147,3.74404953131813,0,2.32224858345084
"45","$75,000 to $99,999:","35.0 to 39.9 percent",43,48,"Renter",10.1895734597156,590.758293838863,21.0500458119119,0,10.8604723521962
"46","$75,000 to $99,999:","40.0 to 49.9 percent",29,16,"Renter",6.87203791469194,597.630331753555,9.90150085684353,3.84257497254036,3.02946294215158
"47","$75,000 to $99,999:","50.0 percent or more",10,15,"Renter",2.3696682464455,600,5.83614510009481,0,3.46647685364931
"48","$75,000 to $99,999:","Not computed",0,19,"Renter",0,600,4.50236966824645,0,4.50236966824645
"49","Owner: $100,000 to $149,999 
 Renter: $100,000 or more","Less than 20.0 percent",319,104,"Renter",73.1651376146789,673.165137614679,87.4131547003633,58.9171205289946,14.2480170856843
"50","Owner: $100,000 to $149,999 
 Renter: $100,000 or more","20.0 to 24.9 percent",106,67,"Renter",24.3119266055046,697.477064220183,38.3024622470635,10.3213909639457,13.9905356415589
"51","Owner: $100,000 to $149,999 
 Renter: $100,000 or more","25.0 to 29.9 percent",11,17,"Renter",2.52293577981651,700,6.36581031982571,0,3.8428745400092
"52","Owner: $100,000 to $149,999 
 Renter: $100,000 or more","30.0 to 34.9 percent",0,19,"Renter",0,700,4.35779816513761,0,4.35779816513761
"53","Owner: $100,000 to $149,999 
 Renter: $100,000 or more","35.0 to 39.9 percent",0,19,"Renter",0,700,4.35779816513761,0,4.35779816513761
"54","Owner: $100,000 to $149,999 
 Renter: $100,000 or more","40.0 to 49.9 percent",0,19,"Renter",0,700,4.35779816513761,0,4.35779816513761
"55","Owner: $100,000 to $149,999 
 Renter: $100,000 or more","50.0 percent or more",0,19,"Renter",0,700,4.35779816513761,0,4.35779816513761
"56","Owner: $100,000 to $149,999 
 Renter: $100,000 or more","Not computed",0,19,"Renter",0,700,4.35779816513761,0,4.35779816513761
